Geneid	HCT_NS_1	HCT_NS_2	HCT_NS_3	HCT_TNF_1	HCT_TNF_2	HCT_TNF_3	SCZ_NS_1	SCZ_NS_2	SCZ_NS_3	SCZ_TNF_1	SCZ_TNF_2	SCZ_TNF_3
ENSG00000255833.2	683	998	1011	775	840	3527	424	725	1119	667	1154	1693
ENSG00000145832.15	21	38	6	51	51	33	10	44	13	18	13	14
ENSG00000250378.4	10	7	7	22	12	21	2	10	2	14	10	7
ENSG00000120708.17	42771	56035	29497	27685	41595	71829	30444	39844	34067	21504	22830	32544
ENSG00000113658.18	757	616	656	700	497	1316	310	538	593	400	763	857
ENSG00000146021.15	118	73	393	90	74	751	56	57	315	65	380	383
ENSG00000177733.7	1750	1728	1440	1507	1650	3386	812	1344	1274	1304	2122	1784
ENSG00000250159.7	58	18	32	49	20	140	12	42	43	52	50	54
ENSG00000031003.11	1267	1189	1048	1103	829	2309	665	935	1087	771	1193	1208
ENSG00000112983.18	612	553	325	507	509	922	311	463	434	495	422	401
ENSG00000112984.12	139	92	6	91	167	82	46	82	26	78	2	4
ENSG00000094880.11	518	456	468	564	388	953	234	427	414	318	457	504
ENSG00000158402.21	16	13	10	31	13	12	12	14	14	16	2	2
ENSG00000120709.11	1764	1908	1268	1495	1815	2850	982	1469	1112	1273	1097	1431
ENSG00000120733.14	3170	3308	2353	2830	3122	5947	1687	2445	2312	2316	2835	2678
ENSG00000132563.17	10	2	17	8	4	32	3	4	24	2	16	18
ENSG00000120738.8	112	216	58	155	209	160	71	211	58	102	63	64
ENSG00000120705.13	2017	1862	1659	1974	1628	3834	963	1490	1391	1393	2118	2067
ENSG00000289155.1	26	34	13	20	12	29	10	10	24	10	38	6
ENSG00000113013.16	5977	5219	5361	6391	4879	11315	2666	4722	4054	4812	6133	6447
ENSG00000044115.21	7235	7907	6081	6184	6645	13679	4095	5698	5632	5025	6822	7092
ENSG00000120725.13	1492	1546	1545	1265	1531	3242	821	1060	1228	1170	2063	1721
ENSG00000281398.4	194	138	114	130	158	270	68	130	103	112	161	123
ENSG00000252213.1	42	100	27	66	60	116	19	56	18	75	49	41
ENSG00000200959.1	218	362	172	306	251	566	109	217	205	191	238	196
ENSG00000015479.20	321	281	196	322	240	594	170	256	284	242	411	329
ENSG00000120727.13	1105	966	842	1158	768	2085	495	855	932	763	1352	1103
ENSG00000228672.4	24	40	2	31	40	28	14	28	14	34	16	22
ENSG00000170469.11	20	4	12	5	11	38	10	9	8	14	4	4
ENSG00000170464.10	106	85	128	107	73	235	60	112	70	90	107	154
ENSG00000184584.13	765	776	590	603	840	1404	410	637	624	443	479	666
ENSG00000131508.16	1556	1416	1764	1457	1238	3961	704	1268	1453	1080	2472	2334
ENSG00000272255.1	47	15	27	25	14	45	6	27	10	24	20	18
ENSG00000171604.12	1755	1875	1045	1631	1921	2320	1098	1545	886	1556	1910	1212
ENSG00000250635.1	37	45	21	33	52	44	18	28	26	25	41	50
ENSG00000249526.1	35	31	6	21	21	30	25	15	9	19	15	13
ENSG00000245146.7	12	4	26	10	6	20	2	6	15	8	20	22
ENSG00000185129.8	831	734	640	788	571	1527	355	644	616	660	964	800
ENSG00000182700.5	126	98	110	130	106	210	64	116	86	92	124	122
ENSG00000254363.6	39	30	6	30	22	40	16	30	32	24	20	18
ENSG00000120306.11	853	902	504	814	791	1332	453	785	626	694	712	816
ENSG00000250069.1	37	60	18	50	32	71	39	36	22	26	24	46
ENSG00000113068.10	978	919	721	908	813	1814	475	735	749	839	969	1010
ENSG00000113070.8	1239	1808	720	2279	1912	1597	1044	1750	592	1929	1424	986
ENSG00000113073.15	4	16	6	10	8	12	5	8	4	2	24	6
ENSG00000249637.3	18	39	20	24	28	59	19	14	19	19	32	8
ENSG00000131503.21	152	101	92	120	66	203	45	86	139	98	125	112
ENSG00000254996.5	103	65	38	77	33	162	25	81	75	60	81	80
ENSG00000213523.12	537	656	485	584	536	1010	296	523	458	498	539	490
ENSG00000243056.2	34	37	17	20	20	58	12	21	30	25	20	16
ENSG00000113108.20	318	326	140	251	308	442	188	328	173	279	157	199
ENSG00000176087.16	1523	1584	1546	1520	1500	3404	730	1372	1228	1276	1449	1800
ENSG00000283602.1	49	89	6	72	52	56	43	67	48	73	19	15
ENSG00000240518.2	17	30	4	17	13	10	20	15	3	26	4	0
ENSG00000170458.15	15812	19136	2703	15623	17917	12961	11827	17135	6495	16768	2565	4508
ENSG00000131495.9	378	343	333	303	307	774	146	316	344	270	397	388
ENSG00000113119.13	351	364	85	249	248	319	171	216	131	239	146	125
ENSG00000113141.19	1099	1228	737	1016	1071	1987	545	975	791	858	881	939
ENSG00000120314.19	1004	1085	774	891	1064	1850	594	843	788	802	1237	1092
ENSG00000256453.2	5	22	8	16	29	43	10	24	8	30	20	16
ENSG00000170445.16	1055	1113	821	1149	1073	2094	541	865	655	737	1227	933
ENSG00000112855.17	567	508	395	502	526	1164	287	438	455	385	614	539
ENSG00000146007.11	846	904	819	802	851	1710	432	685	751	721	1151	1047
ENSG00000199990.1	8	132	2	22	68	54	12	66	14	60	18	30
ENSG00000178913.9	894	950	725	811	782	1667	473	770	599	668	925	843
ENSG00000253485.3	10	11	0	10	14	22	0	6	8	12	10	6
ENSG00000253731.3	6	10	6	14	4	30	4	4	16	14	2	14
ENSG00000253953.3	7	17	14	20	16	33	10	25	6	28	26	18
ENSG00000276547.2	36	48	48	49	30	57	24	38	26	18	43	28
ENSG00000261934.3	18	20	10	6	10	32	19	18	9	4	12	12
ENSG00000253305.3	38	22	12	18	32	32	14	22	18	16	20	13
ENSG00000253846.3	51	40	21	32	44	82	32	32	24	46	20	46
ENSG00000254122.3	16	16	12	8	22	35	12	10	8	20	20	26
ENSG00000253873.6	26	17	10	40	16	37	18	20	12	8	40	25
ENSG00000248449.2	8	8	6	22	14	18	14	6	8	12	8	6
ENSG00000253159.3	22	40	8	26	66	30	24	22	25	30	48	18
ENSG00000240184.7	386	266	215	273	334	363	195	257	150	233	197	198
ENSG00000131504.18	6935	8011	8477	6486	7287	18926	3956	5351	7302	4870	10999	9917
